,title,link
75,"Analyst, Finance (Bilingual) at International Federation of Red Cross and Red Crescent Societies (IFRC)",https://www.myjobmag.co.ke/job/analyst-finance-bilingual-international-federation-of-red-cross-and-red-crescent-societies-ifrc
76,Data Operations Analyst at Koko Networks,https://www.myjobmag.co.ke/job/data-operations-analyst-koko-networks
77,Integration Analyst at Kerry,https://www.myjobmag.co.ke/job/integration-analyst-kerry-1
78,Business Analyst – Africa Social Sector at McKinsey & Company,https://www.myjobmag.co.ke/job/business-analyst-africa-social-sector-mckinsey-amp-company
79,Business Development & Digital Marketing Manager at Brites Management,https://www.myjobmag.co.ke/job/business-development-digital-marketing-manager-brites-management
80,Operations Analyst at Absa Bank Limited,https://www.myjobmag.co.ke/job/operations-analyst-absa-bank-limited-3
81,Senior ICT Service Desk Analyst at CIC Insurance,https://www.myjobmag.co.ke/job/senior-ict-service-desk-analyst-cic-insurance
82,Inclusive Business specialist at TechnoServe Kenya,https://www.myjobmag.co.ke/job/technoserve-kenya-2
83,Business Development Executive at Corporate Staffing,https://www.myjobmag.co.ke/job/business-development-executive-corporate-staffing-6
84,Business Development Manager at Swivel Marketing,https://www.myjobmag.co.ke/job/business-development-manager-swivel-marketing-1
85,Business Intelligence – Data analyst (Grade 3) at Kingdom Bank Limited,https://www.myjobmag.co.ke/job/business-intelligence-data-analyst-grade-3-kingdom-bank-limited
86,Channels Analyst at Old Mutual Kenya,https://www.myjobmag.co.ke/job/old-mutual-kenya-6
87,Business Support Coordinator - Tax at Deloitte Consulting,https://www.myjobmag.co.ke/job/business-support-coordinator-tax-deloitte-consulting
88,Sales Operations Analyst at Canonical,https://www.myjobmag.co.ke/job/sales-operations-analyst-canonical-1
89,Business Development Manager/ Operations Manager at Stan Consulting Group Limited,https://www.myjobmag.co.ke/job/business-development-manager-operations-manager-stan-consulting-group-limited
90,Business Development & Operations Assistant at Corporate Staffing,https://www.myjobmag.co.ke/job/business-development-operations-assistant-corporate-staffing
91,Business Analyst ICT at Family Bank Ltd,https://www.myjobmag.co.ke/job/business-analyst-ict-family-bank-ltd
92,Relationship Officers-Business Bankers at Family Bank Ltd,https://www.myjobmag.co.ke/job/relationship-officers-business-bankers-family-bank-ltd-2
93,Senior Business Analyst (CRM for Programming) at Save the Children,https://www.myjobmag.co.ke/job/senior-business-analyst-crm-for-programming-save-the-children-1
94,Human Resources Business Partner at Save the Children,https://www.myjobmag.co.ke/job/human-resources-business-partner-save-the-children
95,SafeWater Business Communicator at Grundfos,https://www.myjobmag.co.ke/job/safewater-business-communicator-grundfos
96,Business Banking Score Card Analyst at NCBA Group,https://www.myjobmag.co.ke/job/business-banking-score-card-analyst-ncba-group
97,Business Banking Assistant Relationship Manager at NCBA Group,https://www.myjobmag.co.ke/job/business-banking-assistant-relationship-manager-ncba-group-2
98,Business Analyst at NCBA Group,https://www.myjobmag.co.ke/job/business-analyst-ncba-group-1
99,Consumer Banking Score Card Analyst at NCBA Group,https://www.myjobmag.co.ke/job/consumer-banking-score-card-analyst-ncba-group
100,HR Business Partner Operations at SportPesa,https://www.myjobmag.co.ke/job/hr-business-partner-operations-sportpesa
101,Data Analyst Officer at Kenya Red Cross Society,https://www.myjobmag.co.ke/job/data-analyst-officer-kenya-red-cross-society
102,Junior Marketing Business Analyst at British American Tobacco (BAT),https://www.myjobmag.co.ke/job/junior-marketing-business-analyst-british-american-tobacco-bat
103,Data Analyst Intern at Kenya Red Cross Society,https://www.myjobmag.co.ke/job/kenya-red-cross-society-4
104,Business Development Specialist at Kilimall,https://www.myjobmag.co.ke/job/business-development-specialist-kilimall-1
105,QSSK-DF-BDM-Business Development Manager at Q-Sourcing Servtec Group,https://www.myjobmag.co.ke/job/qssk-df-bdm-business-development-manager-q-sourcing-servtec-group
106,Business Development Intern at Plan International,https://www.myjobmag.co.ke/job/business-development-intern-plan-international
107,Global Impact Ventures Analyst at One Acre Fund,https://www.myjobmag.co.ke/job/global-impact-ventures-analyst-one-acre-fund
108,Business Intelligence Team Lead at Wasoko,https://www.myjobmag.co.ke/job/business-intelligence-team-lead-wasoko
109,Quality Review and Audit Analyst at Cigna,https://www.myjobmag.co.ke/job/quality-review-and-audit-analyst-cigna
110,Programme Business Manager - Airtel at Nokia,https://www.myjobmag.co.ke/job/programme-business-manager-airtel-nokia
111,Fiscal Analyst at Office of the Controller of Budget (OCOB),https://www.myjobmag.co.ke/job/fiscal-analyst-office-of-the-controller-of-budget-ocob-2
112,"Data Analyst, Air Quality at World Resources Institute (WRI)",https://www.myjobmag.co.ke/job/data-analyst-air-quality-world-resources-institute-wri
113,"Corporate Alliances Specialist (Business Engagement and Child Rights & Business), P-3 at UNICEF",https://www.myjobmag.co.ke/job/corporate-alliances-specialist-business-engagement-and-child-rights-business-p-3-unicef
114,IRAU Credit Risk Senior Analyst at Citi,https://www.myjobmag.co.ke/job/irau-credit-risk-senior-analyst-citi
115,Data Analyst at Church World Service,https://www.myjobmag.co.ke/job/data-analyst-church-world-service
116,Regional P&C (HR) Business Partner at World Vision Kenya,https://www.myjobmag.co.ke/job/regional-p-c-hr-business-partner-world-vision-kenya-1
117,Consumer Credit Analyst at NCBA Group,https://www.myjobmag.co.ke/job/consumer-credit-analyst-ncba-group
118,Business Banking Credit Analyst at NCBA Group,https://www.myjobmag.co.ke/job/business-banking-credit-analyst-ncba-group
119,"Manager, Business Development at Precision Agriculture for Development (PAD)",https://www.myjobmag.co.ke/job/manager-business-development-precision-agriculture-for-development-pad
120,Business Enabling Environment Specialist at ME&A,https://www.myjobmag.co.ke/job/business-enabling-environment-specialist-me-a
121,Marketing and Business Development Officer at MGI Alekim LLP,https://www.myjobmag.co.ke/job/marketing-and-business-development-officer-mgi-alekim-llp
